dataset	class_dir	ecotaxa_taxon_id
tara_pacific_bongo	Rhizaria	342
tara_pacific_bongo	Cyanobacteria<Proteobacteria	849
tara_pacific_bongo	Retaria	2244
tara_pacific_bongo	Ciliophora	2250
tara_pacific_bongo	Trichodesmium	8976
tara_pacific_bongo	UCYNA like	8983
tara_pacific_bongo	Mollusca	11498
tara_pacific_bongo	Foraminifera	11758
tara_pacific_bongo	Acantharea	11762
tara_pacific_bongo	Spumellaria	13378
tara_pacific_bongo	Nassellaria<Polycystina	13379
tara_pacific_bongo	Peridiniales	13944
tara_pacific_bongo	Dinophyceae X	13950
tara_pacific_bongo	Bacillariophyceae	17519
tara_pacific_bongo	Rhizosolenids	17523
tara_pacific_bongo	Dictyocha	17608
tara_pacific_bongo	Undellidae	18597
tara_pacific_bongo	Tintinnina<Choreotrichida	18599
tara_pacific_bongo	Codonellidae	18611
tara_pacific_bongo	Neoceratium	18758
tara_pacific_bongo	Copepoda<Multicrustacea	25828
tara_pacific_bongo	Synedra	28119
tara_pacific_bongo	Striatella	28121
tara_pacific_bongo	Pseudo-nitzschia	28138
tara_pacific_bongo	Licmophora	28161
tara_pacific_bongo	Diatoma	28189
tara_pacific_bongo	Cylindrotheca	28194
tara_pacific_bongo	Asterionella	28208
tara_pacific_bongo	Bacteriastrum<Chaetocerotaceae	28217
tara_pacific_bongo	Planktoniella	28227
tara_pacific_bongo	Hemiaulus	28244
tara_pacific_bongo	Eucampia	28248
tara_pacific_bongo	Ditylum	28249
tara_pacific_bongo	Chaetoceros<Chaetocerotaceae	28257
tara_pacific_bongo	Biddulphia	28263
tara_pacific_bongo	Rhizosolenia	28296
tara_pacific_bongo	Guinardia	28299
tara_pacific_bongo	Dactyliosolen	28300
tara_pacific_bongo	Lacrymaria	30896
tara_pacific_bongo	Vorticella	31098
tara_pacific_bongo	Epiplocylis	31189
tara_pacific_bongo	Cyttarocylis	31190
tara_pacific_bongo	Dictyocysta	31192
tara_pacific_bongo	Metacylis	31196
tara_pacific_bongo	Rhabdonella	31203
tara_pacific_bongo	Steenstrupiella	31218
tara_pacific_bongo	Eutintinnus	31221
tara_pacific_bongo	Amphorides	31223
tara_pacific_bongo	Neoceratium pentagonum	31583
tara_pacific_bongo	Neoceratium fusus<Neoceratium	31593
tara_pacific_bongo	Neoceratium furca<Neoceratium	31594
tara_pacific_bongo	Neoceratium candelabrum	31601
tara_pacific_bongo	Phalacroma	31661
tara_pacific_bongo	Ornithocercus	31663
tara_pacific_bongo	Pyrophacus	31699
tara_pacific_bongo	Protoperidinium	31853
tara_pacific_bongo	Pyrocystaceae	31874
tara_pacific_bongo	Cyclopoida	45072
tara_pacific_bongo	Calanoida	45074
tara_pacific_bongo	Ornithocercus magnificus<Ornithocercus	58202
tara_pacific_bongo	Podolampas	58422
tara_pacific_bongo	Odontella sp.	62348
tara_pacific_bongo	Oncaeidae	78418
tara_pacific_bongo	Corycaeidae	78426
tara_pacific_bongo	duplicate	84961
tara_pacific_bongo	detritus<not-living	84963
tara_pacific_bongo	larvae<Annelida	84965
tara_pacific_bongo	artefact	85008
tara_pacific_bongo	centric	85009
tara_pacific_bongo	pennate<Bacillariophyta	85010
tara_pacific_bongo	other<Biota	85011
tara_pacific_bongo	t001	85012
tara_pacific_bongo	t002	85013
tara_pacific_bongo	t003	85014
tara_pacific_bongo	t004	85015
tara_pacific_bongo	t005	85016
tara_pacific_bongo	t006	85017
tara_pacific_bongo	t007	85018
tara_pacific_bongo	t008	85019
tara_pacific_bongo	feces	85026
tara_pacific_bongo	dark<detritus	85054
tara_pacific_bongo	light<detritus	85055
tara_pacific_bongo	bubble	85060
tara_pacific_bongo	badfocus<artefact	85061
tara_pacific_bongo	part<other	85068
tara_pacific_bongo	othertocheck	85069
tara_pacific_bongo	fiber<detritus	85076
tara_pacific_bongo	egg<other	85078
tara_pacific_bongo	multiple<other	85079
tara_pacific_bongo	part<Crustacea	85115
tara_pacific_bongo	nauplii<Crustacea	85116
tara_pacific_bongo	t010	85124
tara_pacific_bongo	veliger<Mollusca	85128
tara_pacific_bongo	t011	85136
tara_pacific_bongo	t012	85137
tara_pacific_bongo	t013	85138
tara_pacific_bongo	t014	85139
tara_pacific_bongo	t015	85140
tara_pacific_bongo	t016	85141
tara_pacific_bongo	t017	85142
tara_pacific_bongo	chainthin	85352
tara_pacific_bongo	chainlarge	85353
tara_pacific_bongo	spines<Acantharia	85355
tara_pacific_bongo	Amphitetras	85519
tara_pacific_bongo	Oxytoxum	85674
tara_pacific_bongo	part<Copepoda	92069
tara_pacific_bongo	Coscinodiscophycidae	92144
tara_pacific_bongo	Asterolamprales	92151
tara_pacific_bongo	Hemidiscus cuneiformis	92343
tara_pacific_bongo	Cladopyxis quadrispina	92501
tara_pacific_bongo	Ornithocercus steinii	92505
tara_pacific_bongo	Rhizosolenia inter. Richelia	92691
tara_pacific_bongo	Chaetoceros inter. Calothrix	92692
tara_pacific_bongo	Poroecus	92706
tara_pacific_bongo	multiple<Diatoma	92750
tara_pacific_bongo	Cladopyxis	92753
tara_pacific_bongo	Richelia	92769
tara_pacific_bongo	Rhabdonellopsis	92773
tara_pacific_bongo	larvae<Echinodermata	92801
tara_pacific_bongo	Thalassionematales	92831
tara_pacific_bongo	trochozoa	92838
tara_pacific_bongo	crumple sphere	92842
tara_pacific_bongo	egg sac<egg	92843
tara_pacific_bongo	larvae<Polychaeta	92872
tara_pacific_bongo	rhizosolenia inter richelia tmp i	92967
tara_pacific_bongo	rhizosolenia tmp i	92970
tara_pacific_bongo	lightrods<rods	93389
tara_pacific_bongo	darkrods<rods	93390
tara_pacific_bongo	trochophore	93547
tara_pacific_bongo	Chaetoceros inter ciliate	93596
tara_pacific_bongo	part<Ciliophora	93615
tara_pacific_bongo	spines<Rhizaria	93666
tara_pacific_bongo	larvae<Biota	93687
tara_pacific_bongo	aggregates	93714
tara_pacific_bongo	part diatom	94026
tara_pacific_bongo	Hemidiscus	94061
tara_pacific_bongo	lightrods<othertocheck	94071
tara_pacific_decknet	Rhizaria	342
tara_pacific_decknet	Cyanobacteria<Proteobacteria	849
tara_pacific_decknet	Retaria	2244
tara_pacific_decknet	Ciliophora	2250
tara_pacific_decknet	UCYNA like	8983
tara_pacific_decknet	Rotifera	11486
tara_pacific_decknet	Foraminifera	11758
tara_pacific_decknet	Dictyochophyceae<Ochrophyta	11812
tara_pacific_decknet	Dinophyceae	11921
tara_pacific_decknet	Pterosperma	12402
tara_pacific_decknet	Tunicata	12860
tara_pacific_decknet	Spumellaria	13378
tara_pacific_decknet	Nassellaria<Polycystina	13379
tara_pacific_decknet	Gymnodiniales	13947
tara_pacific_decknet	Gonyaulacales	13948
tara_pacific_decknet	Bacillariophyceae	17519
tara_pacific_decknet	Rhizosolenids	17523
tara_pacific_decknet	Coscinodiscids	17527
tara_pacific_decknet	Zoothamniidae	18529
tara_pacific_decknet	Xystonellidae	18596
tara_pacific_decknet	Undellidae	18597
tara_pacific_decknet	Tintinnina<Choreotrichida	18599
tara_pacific_decknet	Codonellidae	18611
tara_pacific_decknet	Neoceratium	18758
tara_pacific_decknet	Copepoda<Multicrustacea	25828
tara_pacific_decknet	Nitzschia	28152
tara_pacific_decknet	Fragilariopsis	28174
tara_pacific_decknet	Asterionellopsis	28207
tara_pacific_decknet	Bacteriastrum<Chaetocerotaceae	28217
tara_pacific_decknet	Planktoniella	28227
tara_pacific_decknet	Hemiaulus	28244
tara_pacific_decknet	Helicotheca	28245
tara_pacific_decknet	Eucampia	28248
tara_pacific_decknet	Ditylum	28249
tara_pacific_decknet	Chaetoceros<Chaetocerotaceae	28257
tara_pacific_decknet	Corethron	28277
tara_pacific_decknet	Guinardia	28299
tara_pacific_decknet	Dactyliosolen	28300
tara_pacific_decknet	Lacrymaria	30896
tara_pacific_decknet	Epiplocylis	31189
tara_pacific_decknet	Cyttarocylis	31190
tara_pacific_decknet	Dictyocysta	31192
tara_pacific_decknet	Codonaria	31194
tara_pacific_decknet	Metacylis	31196
tara_pacific_decknet	Rhabdonella	31203
tara_pacific_decknet	Steenstrupiella	31218
tara_pacific_decknet	Salpingella<Tintinnidae	31219
tara_pacific_decknet	Eutintinnus	31221
tara_pacific_decknet	Codonellopsis<Tintinnidiidae	31222
tara_pacific_decknet	Amphorides	31223
tara_pacific_decknet	Dadayiella	31229
tara_pacific_decknet	Neoceratium pentagonum	31583
tara_pacific_decknet	Tripos limulus<Tripos	31588
tara_pacific_decknet	Neoceratium fusus<Neoceratium	31593
