Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
planktonset1.0,siphonophore_calycophoran_abylidae,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,,,abylidae,True,True,living,full_body,Q3386609,135336.0,316207.0,109624.0,328
zooscan,eudoxie_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
zooscan,bract_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
zooscan,gonophore_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
zooscan,nectophore_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
planktoscope,Lithoptera,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
global_uvp5,Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
isiisnet,Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktonset1.0,acantharia_protist,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktonset1.0,acantharia_protist_big_center,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktonset1.0,acantharia_protist_halo,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktoscope,Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktoscope,Acantharia,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
uvp6net,fuzzy,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
uvp6net,spiky<Acantharia,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
uvp6net,star<Acantharia,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
global_uvp5,like<Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,like,Q135584,586732.0,65574.0,714957.0,625;640
isiisnet,like_Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,like,Q135584,586732.0,65574.0,714957.0,625;640
planktoscope,Acartiidae,animalia,arthropoda,copepoda,calanoida,acartiidae,,,acartiidae,True,True,living,full_body,Q3809261,104074.0,121147.0,1731.0,49;758
zoocamnet,Acartiidae,animalia,arthropoda,copepoda,calanoida,acartiidae,,,acartiidae,True,True,living,full_body,Q3809261,104074.0,121147.0,1731.0,49;758
zooscan,Acartiidae,animalia,arthropoda,copepoda,calanoida,acartiidae,,,acartiidae,True,True,living,full_body,Q3809261,104074.0,121147.0,1731.0,49;758
global_uvp5,Acrocirridae,animalia,annelida,polychaeta,terebellida,acrocirridae,,,acrocirridae,True,True,living,full_body,Q3556969,920.0,278013.0,125431.0,558;632
