subject_id	predicate_id	object_id	mapping_justification	mapping_date	author_id	confidence	comment
pzt:000002	skos:exactMatch	ecotaxa_legacy:208	semapv:UnspecifiedMatching				
pzt:000002	skos:exactMatch	ecotaxa_legacy:688	semapv:UnspecifiedMatching				
pzt:000002	skos:exactMatch	ecotaxa_legacy:714	semapv:UnspecifiedMatching				
pzt:000005	skos:exactMatch	ecotaxa_legacy:205	semapv:UnspecifiedMatching				
pzt:000005	skos:exactMatch	ecotaxa_legacy:667	semapv:UnspecifiedMatching				
pzt:000005	skos:exactMatch	ecotaxa_legacy:715	semapv:UnspecifiedMatching				
pzt:000008	skos:exactMatch	ecotaxa_legacy:207	semapv:UnspecifiedMatching				
pzt:000008	skos:exactMatch	ecotaxa_legacy:666	semapv:UnspecifiedMatching				
pzt:000008	skos:exactMatch	ecotaxa_legacy:717	semapv:UnspecifiedMatching				
pzt:000010	skos:exactMatch	ecotaxa_legacy:213	semapv:UnspecifiedMatching				
pzt:000010	skos:exactMatch	ecotaxa_legacy:226	semapv:UnspecifiedMatching				
pzt:000010	skos:exactMatch	ecotaxa_legacy:552	semapv:UnspecifiedMatching				
pzt:000010	skos:exactMatch	ecotaxa_legacy:750	semapv:UnspecifiedMatching				
pzt:000014	skos:exactMatch	ecotaxa_legacy:204	semapv:UnspecifiedMatching				
pzt:000014	skos:exactMatch	ecotaxa_legacy:576	semapv:UnspecifiedMatching				
pzt:000015	skos:exactMatch	ecotaxa_legacy:577	semapv:UnspecifiedMatching				
pzt:000036	skos:exactMatch	ecotaxa_legacy:716	semapv:UnspecifiedMatching				
pzt:000038	skos:exactMatch	ecotaxa_legacy:215	semapv:UnspecifiedMatching				
pzt:000044	skos:exactMatch	ncbi:33208	semapv:UnspecifiedMatching				
pzt:000044	skos:exactMatch	wikidata:Q729	semapv:UnspecifiedMatching				
pzt:000044	skos:exactMatch	worms:2	semapv:UnspecifiedMatching				
pzt:000045	skos:exactMatch	bold:2	semapv:UnspecifiedMatching				
pzt:000045	skos:exactMatch	ecotaxa_legacy:558	semapv:UnspecifiedMatching				
pzt:000045	skos:exactMatch	ecotaxa_legacy:632	semapv:UnspecifiedMatching				
pzt:000045	skos:exactMatch	ncbi:6340	semapv:UnspecifiedMatching				
pzt:000045	skos:exactMatch	wikidata:Q25522	semapv:UnspecifiedMatching				
pzt:000045	skos:exactMatch	worms:882	semapv:UnspecifiedMatching				
pzt:000046	skos:exactMatch	bold:24489	semapv:UnspecifiedMatching				
pzt:000046	skos:exactMatch	ecotaxa_legacy:558	semapv:UnspecifiedMatching				
pzt:000046	skos:exactMatch	ecotaxa_legacy:632	semapv:UnspecifiedMatching				
pzt:000046	skos:exactMatch	ncbi:6341	semapv:UnspecifiedMatching				
pzt:000046	skos:exactMatch	wikidata:Q18952	semapv:UnspecifiedMatching				
pzt:000046	skos:exactMatch	worms:883	semapv:UnspecifiedMatching				
pzt:000047	skos:exactMatch	bold:25265	semapv:UnspecifiedMatching				
pzt:000047	skos:exactMatch	ecotaxa_legacy:558	semapv:UnspecifiedMatching				
pzt:000047	skos:exactMatch	ecotaxa_legacy:632	semapv:UnspecifiedMatching				
pzt:000047	skos:exactMatch	ncbi:6348	semapv:UnspecifiedMatching				
pzt:000047	skos:exactMatch	wikidata:Q733080	semapv:UnspecifiedMatching				
pzt:000047	skos:exactMatch	worms:892	semapv:UnspecifiedMatching				
pzt:000048	skos:exactMatch	bold:29430	semapv:UnspecifiedMatching				
pzt:000048	skos:exactMatch	ecotaxa_legacy:558	semapv:UnspecifiedMatching				
pzt:000048	skos:exactMatch	ecotaxa_legacy:632	semapv:UnspecifiedMatching				
pzt:000048	skos:exactMatch	ncbi:195257	semapv:UnspecifiedMatching				
pzt:000048	skos:exactMatch	wikidata:Q3917508	semapv:UnspecifiedMatching				
pzt:000048	skos:exactMatch	worms:931	semapv:UnspecifiedMatching				
pzt:000049	skos:exactMatch	worms:932	semapv:UnspecifiedMatching				
pzt:000050	skos:exactMatch	bold:125419	semapv:UnspecifiedMatching				
