datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
frepj	Arachnida,Trombidiformes,Hydrachnidia,Ge._unk,Ge._unk	pzt:000066	hydrachnidia	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina fatalis	pzt:000071	bosmina fatalis	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina freyi	pzt:000072	bosmina freyi	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris	pzt:000073	bosmina longirostris	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina tanakai	pzt:000074	bosmina tanakai	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Bosminidae,Bosmina,Sp._unk	pzt:000070	bosmina	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Bosminidae,Bosminopsis,Bosminopsis deitersi	pzt:000102	bosminopsis deitersi	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Alona,Alona affinis	pzt:000105	alona affinis	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Alona,Alona costata	pzt:000106	alona costata	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Alona,Alona guttata	pzt:000107	alona guttata	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Alona,Alona intermedia	pzt:000108	alona intermedia	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Alona,Sp._unk	pzt:000104	alona	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Alonella,Alonella excisa	pzt:000110	alonella excisa	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Camptocercus,Camptocercus australis	pzt:000112	camptocercus australis	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Camptocercus,Sp._unk	pzt:000111	camptocercus	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Chydorus,Chydorus brevilabris	pzt:000114	chydorus brevilabris	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Chydorus,Chydorus sphaericus	pzt:000115	chydorus sphaericus	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Chydorus,Sp._unk	pzt:000113	chydorus	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Disparalona,Disparalona rostrata	pzt:000117	disparalona rostrata	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Ge._unk,Ge._unk	pzt:000103	chydoridae	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Leydigia,Leydigia cliata	pzt:000119	leydigia cliata	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Leydigia,Leydigia leydigi	pzt:000120	leydigia leydigi	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Monospilus,Monospilus dispar	pzt:000122	monospilus dispar	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,Pleuroxus hamulatus	pzt:000124	pleuroxus hamulatus	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,Pleuroxus laevis	pzt:000125	pleuroxus laevis	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Daphniida,Simocephalus,Simocephalus serrulatus	pzt:000128	simocephalus serrulatus	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Daphniida,Simocephalus,Simocephalus vetulus	pzt:000129	simocephalus vetulus	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia cornuta	pzt:000077	ceriodaphnia cornuta	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia dubia	pzt:000078	ceriodaphnia dubia	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia pulchella	pzt:000079	ceriodaphnia pulchella	living	full_body	true	accepted							
frepj	Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia sp2	pzt:000076	ceriodaphnia	living	full_body	true	accepted							
