datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
medplanktonset	Akashiwo_sanguinea	pzt:001162	akashiwo sanguinea	living	full_body	true	accepted							
medplanktonset	Alexandrium_spp	pzt:001150	alexandrium	living	full_body	true	accepted							
medplanktonset	Amphidinium_spp	pzt:001065	amphidinium	living	full_body	true	accepted							
medplanktonset	Appendicularia	pzt:000313	appendicularia	living	full_body	true	accepted							
medplanktonset	Asterionellopsis_cf._glacialis	pzt:000945	asterionellopsis glacialis	living	full_body	true	accepted							
medplanktonset	Asteromphalus_sarcophagus	pzt:000883	asteromphalus sarcophagus	living	full_body	true	accepted							
medplanktonset	Asteromphalus_spp	pzt:000882	asteromphalus	living	full_body	true	accepted							
medplanktonset	Azadinium_caudatum	pzt:001069	azadinium caudatum	living	full_body	true	accepted							
medplanktonset	Bacteriastrum_spp	pzt:000907	bacteriastrum	living	full_body	true	accepted							
medplanktonset	Calciopappus_caudatus	pzt:000870	calciopappus caudatus	living	full_body	true	accepted							
medplanktonset	Calciosolenia_brasiliensis	pzt:000862	calciosolenia brasiliensis	living	full_body	true	accepted							
medplanktonset	Centric_diatoms	pzt:000904	centrales	living	full_body	true	accepted							
medplanktonset	Cerataulina_pelagica	pzt:000959	cerataulina pelagica	living	full_body	true	accepted							
medplanktonset	Ceratoperidinium_margalefii	pzt:001177	ceratoperidinium margalefii	living	full_body	true	accepted							
medplanktonset	Chaetoceros_anastomonsans	pzt:000910	chaetoceros anastomosans	living	full_body	true	accepted							
medplanktonset	Chaetoceros_curvisetus_Chaetoceros_pseudocurvisetus	pzt:000908	chaetoceros	living	full_body	true	accepted							
medplanktonset	Chaetoceros_danicus	pzt:000912	chaetoceros danicus	living	full_body	true	accepted							
medplanktonset	Chaetoceros_decipiens	pzt:000913	chaetoceros decipiens	living	full_body	true	accepted							
medplanktonset	Chaetoceros_diversus	pzt:000915	chaetoceros diversus	living	full_body	true	accepted							
medplanktonset	Chaetoceros_peruvianus	pzt:000916	chaetoceros peruvianus	living	full_body	true	accepted							
medplanktonset	Chaetoceros_protuberans_Chaetoceros_didymus	pzt:000908	chaetoceros	living	full_body	true	accepted							
medplanktonset	Chaetoceros_socialis	pzt:000918	chaetoceros socialis	living	full_body	true	accepted							
medplanktonset	Chaetoceros_spp	pzt:000908	chaetoceros	living	full_body	true	accepted							
medplanktonset	Chaetoceros_tortissimus	pzt:000919	chaetoceros tortissimus	living	full_body	true	accepted							
medplanktonset	Chrysochromulina_lanceolata	pzt:000857	chrysochromulina lanceolata	living	full_body	true	accepted							
medplanktonset	Chrysochromulina_parkeae	pzt:000858	chrysochromulina parkeae	living	full_body	true	accepted							
medplanktonset	Ciliates	pzt:000699	ciliophora	living	full_body	true	accepted							
medplanktonset	Cladopyxis_cf._brachiolata	pzt:001133	cladopyxis brachiolata	living	full_body	true	accepted							
medplanktonset	Copepod_copepodites	pzt:000152	copepoda	living	full_body	true	accepted							
medplanktonset	Copepod_eggs	pzt:000152	copepoda	living	egg	true	accepted							
medplanktonset	Copepod_nauplii	pzt:000152	copepoda	living	full_body	true	accepted							
medplanktonset	Corythodinium_constrictum	pzt:001195	corythodinium constrictum	living	full_body	true	accepted							
medplanktonset	Corythodinium_milneri	pzt:001196	corythodinium milneri	living	full_body	true	accepted							
medplanktonset	Cryptophyceae	pzt:000815	cryptophyceae	living	full_body	true	accepted							
medplanktonset	Cylindrotheca_closterium-like	pzt:000888	cylindrotheca closterium	living	like	true	accepted							
medplanktonset	Dactyliosolen_blavyanus	pzt:001011	dactyliosolen blavyanus	living	full_body	true	accepted							
medplanktonset	Dactyliosolen_fragilissimus	pzt:001012	dactyliosolen fragilissimus	living	full_body	true	accepted							
medplanktonset	Dictyocha_fibula	pzt:001244	dictyocha fibula	living	full_body	true	accepted							
medplanktonset	Dictyocysta_spp._Codonaria_spp	pzt:000739	choreotrichida	living	full_body	true	accepted							
medplanktonset	Dinobryon_coalescens	pzt:001235	dinobryon coalescens	living	full_body	true	accepted							
medplanktonset	Dinophysis_caudata	pzt:001077	dinophysis caudata	living	full_body	true	accepted							
medplanktonset	Dinophysis_parva	pzt:001078	dinophysis parva	living	full_body	true	accepted							
medplanktonset	Dinophysis_sacculus	pzt:001079	dinophysis sacculus	living	full_body	true	accepted							
medplanktonset	Dinophysis_spp	pzt:001075	dinophysis	living	full_body	true	accepted							
medplanktonset	Dinophysis_tripos	pzt:001080	dinophysis tripos	living	full_body	true	accepted							
medplanktonset	Discosphaera_tubifera	pzt:000865	discosphaera tubifera	living	full_body	true	accepted							
medplanktonset	Eucampia_cornuta	pzt:000963	eucampia cornuta	living	full_body	true	accepted							
medplanktonset	Euglenophyceae	pzt:001344	euglenophyceae	living	full_body	true	accepted							
medplanktonset	Gonyaulax_polygramma	pzt:001141	gonyaulax polygramma	living	full_body	true	accepted							
medplanktonset	Gonyaulax_spp	pzt:001140	gonyaulax	living	full_body	true	accepted							
medplanktonset	Guinardia_flaccida	pzt:001015	guinardia flaccida	living	full_body	true	accepted							
