datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
planktoscope	Acantharea	pzt:001265	acantharia	living	full_body	true	accepted							
planktoscope	Acantharia	pzt:001265	acantharia	living	full_body	true	accepted							
planktoscope	Acartiidae	pzt:000154	acartiidae	living	full_body	true	accepted							
planktoscope	Actinommidae	pzt:001276	actinommidae	living	full_body	true	accepted							
planktoscope	Amphibelone	pzt:001268	amphibelone	living	full_body	true	accepted							
planktoscope	Amphisolenia	pzt:001072	amphisolenia	living	full_body	true	accepted							
planktoscope	Amphorellopsis	pzt:000773	amphorellopsis	living	full_body	true	accepted							
planktoscope	Amphorides_Tintinnidiidae	pzt:000774	amphorides	living	full_body	true	accepted							
planktoscope	Appendicularia	pzt:000313	appendicularia	living	full_body	true	accepted							
planktoscope	Asterionella	pzt:000942	asterionella	living	full_body	true	accepted							
planktoscope	Asterionellopsis	pzt:000944	asterionellopsis	living	full_body	true	accepted							
planktoscope	Asterolamprales	pzt:000880	asterolamprales	living	full_body	true	accepted							
planktoscope	Bacillaria	pzt:000886	bacillaria	living	full_body	true	accepted							
planktoscope	Bacillariophyceae	pzt:000879	bacillariophyceae	living	full_body	true	accepted							
planktoscope	Bacteriastrum_Chaetocerotales	pzt:000907	bacteriastrum	living	full_body	true	accepted							
planktoscope	Bacteriastrum_Mediophyceae	pzt:000907	bacteriastrum	living	full_body	true	accepted							
planktoscope	Bellerochea	pzt:000956	bellerochea	living	full_body	true	accepted							
planktoscope	Biddulphia	pzt:000899	biddulphia	living	full_body	true	accepted							
planktoscope	Bivalvia_Mollusca	pzt:000439	bivalvia	living	full_body	true	accepted							
planktoscope	Bleakeleya	pzt:000946	bleakeleya	living	full_body	true	accepted							
planktoscope	Bleakeleya notata	pzt:000943	asterionella bleakeleyi	living	full_body	true	accepted							
planktoscope	Calanoida	pzt:000153	calanoida	living	full_body	true	accepted							
planktoscope	Callimitra	pzt:001274	callimitra	living	full_body	true	accepted							
planktoscope	Calocalanus	pzt:000192	calocalanus	living	full_body	true	accepted							
planktoscope	Centropages	pzt:000160	centropages	living	full_body	true	accepted							
planktoscope	Centropagidae	pzt:000159	centropagidae	living	full_body	true	accepted							
planktoscope	Cerataulina	pzt:000958	cerataulina	living	full_body	true	accepted							
planktoscope	Ceratocorys	pzt:001129	ceratocorys	living	full_body	true	accepted							
planktoscope	Ceratocorys horrida	pzt:001130	ceratocorys horrida	living	full_body	true	accepted							
