datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
tara_pacific_decknet	Acantharia	pzt:001265	acantharia	living	full_body	true	accepted	verbatim	planktoscope			anchor:Acantharia		
tara_pacific_decknet	Amphibelone	pzt:001268	amphibelone	living	full_body	true	accepted	verbatim	planktoscope			anchor:Amphibelone		
tara_pacific_decknet	Amphisolenia	pzt:001072	amphisolenia	living	full_body	true	accepted	verbatim	planktoscope			anchor:Amphisolenia		
tara_pacific_decknet	Amphorides	pzt:000774	amphorides	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Amphorides		
tara_pacific_decknet	Amplectella	pzt:000781	amplectella	living	full_body	true	accepted	derived	Undellidae			anchor:Amplectella		
tara_pacific_decknet	Appendicularia<Tunicata	pzt:000313	appendicularia	living	full_body	true	accepted	anchor	flowcamnet			anchor:Appendicularia		
tara_pacific_decknet	Asterionellopsis	pzt:000944	asterionellopsis	living	full_body	true	accepted	verbatim	planktoscope			anchor:Asterionellopsis		
tara_pacific_decknet	Asterolamprales	pzt:000880	asterolamprales	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Asterolamprales		
tara_pacific_decknet	Bacillariaceae	pzt:000885	bacillariaceae	living	full_body	true	accepted	anchor	planktoscope			anchor:Bacillariaceae		
tara_pacific_decknet	Bacillariophyceae	pzt:000879	bacillariophyceae	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Bacillariophyceae		
tara_pacific_decknet	Bacteriastrum<Chaetocerotaceae	pzt:000907	bacteriastrum	living	full_body	true	accepted	anchor	flowcamnet			anchor:Bacteriastrum		
tara_pacific_decknet	Ceratocorys	pzt:001129	ceratocorys	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Ceratocorys		
tara_pacific_decknet	Chaetoceros peruvianus	pzt:000916	chaetoceros peruvianus	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Chaetoceros peruvianus		
tara_pacific_decknet	Chaetoceros protuberans	pzt:000917	chaetoceros protuberans	living	full_body	true	accepted	derived	Chaetoceros			anchor:Chaetoceros protuberans		
tara_pacific_decknet	Chaetoceros<Chaetocerotaceae	pzt:000908	chaetoceros	living	full_body	true	accepted	anchor	flowcamnet			anchor:Chaetoceros		
tara_pacific_decknet	Ciliophora	pzt:000699	ciliophora	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Ciliophora		
tara_pacific_decknet	Cladopyxis	pzt:001132	cladopyxis	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Cladopyxis		
tara_pacific_decknet	Cladopyxis quadrispina	pzt:001134	cladopyxis quadrispina	living	full_body	true	accepted	derived	Cladopyxis			anchor:Cladopyxis quadrispina		
tara_pacific_decknet	Climacodium	pzt:000960	climacodium	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Climacodium		
tara_pacific_decknet	Climacodium inter. Crocosphaera	pzt:000961	climacodium crocosphaera	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Climacodium inter. Crocosphaera		
tara_pacific_decknet	Codonaria	pzt:000741	codonaria	living	full_body	true	accepted	verbatim	flowcamnet			anchor:Codonaria		
tara_pacific_decknet	Codonellidae	pzt:000740	codonellidae	living	full_body	true	accepted	derived	Choreotrichida			anchor:Codonellidae		
tara_pacific_decknet	Codonellopsis orthoceras	pzt:000749	codonellopsis orthoceras	living	full_body	true	accepted	verbatim	planktoscope			anchor:Codonellopsis orthoceras		
tara_pacific_decknet	Codonellopsis<Tintinnidiidae	pzt:000748	codonellopsis morchella	living	full_body	true	accepted	anchor	flowcamnet			anchor:Codonellopsis		
tara_pacific_decknet	Copepoda<Multicrustacea	pzt:000152	copepoda	living	full_body	true	accepted	anchor	global_uvp5			anchor:Copepoda		
tara_pacific_decknet	Corethron	pzt:000927	corethron	living	full_body	true	accepted	verbatim	planktoscope			anchor:Corethron		
