datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
uvp6net	Actinopterygii	pzt:000312	chordata	living	full_body	true	accepted							
uvp6net	Amphipoda	pzt:000263	amphipoda	living	full_body	true	accepted							
uvp6net	Annelida	pzt:000060	poeobius	living	full_body	true	accepted							
uvp6net	Appendicularia	pzt:000313	appendicularia	living	full_body	true	accepted							
uvp6net	Aulacanthidae	pzt:000685	aulacanthidae	living	full_body	true	accepted							
uvp6net	Aulatractus	pzt:000697	aulosphaeridae	living	full_body	true	accepted							
uvp6net	Aulosphaeridae	pzt:000697	aulosphaeridae	living	full_body	true	accepted							
uvp6net	Calanidae	pzt:000157	calanidae	living	full_body	true	accepted							
uvp6net	Calanoida	pzt:000153	calanoida	living	full_body	true	accepted							
uvp6net	Chaetognatha	pzt:000304	chaetognatha	living	full_body	true	accepted							
uvp6net	Coelodendridae	pzt:000689	coelodendridae	living	full_body	true	accepted							
uvp6net	Collodaria	pzt:001270	nassellaria	living	full_body	true	accepted							
uvp6net	Copepoda	pzt:000152	copepoda	living	full_body	true	accepted							
uvp6net	Creseis acicula	pzt:000462	creseis acicula	living	full_body	true	accepted							
uvp6net	Ctenophora	pzt:000949	ctenophora	living	full_body	true	accepted							
uvp6net	Echinodermata	pzt:000428	echinodermata	living	full_body	true	accepted							
uvp6net	Eumalacostraca	pzt:000262	malacostraca	living	full_body	true	accepted							
uvp6net	Foraminifera	pzt:000831	foraminifera	living	full_body	true	accepted							
uvp6net	Hyperiidea	pzt:000263	amphipoda	living	full_body	true	accepted							
uvp6net	Narcomedusae	pzt:000372	narcomedusae	living	full_body	true	accepted							
uvp6net	Ostracoda	pzt:000296	ostracoda	living	full_body	true	accepted							
uvp6net	Phyllodocida	pzt:000047	phyllodocida	living	full_body	true	accepted							
uvp6net	Rhizaria	pzt:000675	chromista	living	full_body	true	accepted							
uvp6net	Salpida	pzt:000344	salpida	living	full_body	true	accepted							
uvp6net	Siphonophorae	pzt:000381	siphonophorae	living	full_body	true	accepted							
uvp6net	Swima	pzt:000057	swima	living	full_body	true	accepted							
uvp6net	Thecosomata	pzt:000453	cavolinia inflexa	living	full_body	true	accepted							
uvp6net	Trachymedusae	pzt:000398	botrynema	living	full_body	true	accepted							
uvp6net	artefact	pzt:000002	artefact	artefact	unqualified	false	accepted							
uvp6net	chain<Salpida	pzt:000344	salpida	living	full_body	true	accepted							
uvp6net	cloud	pzt:001270	nassellaria	living	full_body	true	accepted							
uvp6net	copepoda_eggs	pzt:000152	copepoda	living	egg	true	accepted							
uvp6net	crystal	pzt:000006	crystal	inert	unqualified	false	accepted							
uvp6net	darksphere	pzt:000039	shape	artefact	unqualified	false	accepted							
uvp6net	dead<house	pzt:000313	appendicularia	living	full_body	true	accepted							
uvp6net	detritus	pzt:000008	detritus	detritus	unqualified	false	accepted							
uvp6net	fiber	pzt:000014	fiber	detritus	unqualified	false	accepted							
uvp6net	filament	pzt:000015	filament	detritus	unqualified	false	accepted							
uvp6net	fuzzy	pzt:001265	acantharia	living	full_body	true	accepted							
uvp6net	like<Copepoda	pzt:000152	copepoda	living	like	true	accepted							
uvp6net	like<Rhizaria	pzt:000675	chromista	living	like	true	accepted							
uvp6net	other<Cnidaria	pzt:000352	hydrozoa	living	full_body	true	accepted							
uvp6net	other<living	pzt:000024	other	living	full_body	false	accepted							
uvp6net	puff	pzt:000671	trichodesmium	living	full_body	true	accepted							
uvp6net	reflection	pzt:000036	reflection	artefact	unqualified	false	accepted							
uvp6net	small<Cnidaria	pzt:000352	hydrozoa	living	full_body	true	accepted							
uvp6net	solitaryblack	pzt:001270	nassellaria	living	full_body	true	accepted							
uvp6net	solitaryglobule	pzt:001270	nassellaria	living	full_body	true	accepted							
uvp6net	spiky<Acantharia	pzt:001265	acantharia	living	full_body	true	accepted							
uvp6net	spiky<Coelodendridae	pzt:000689	coelodendridae	living	full_body	true	accepted							
uvp6net	star<Acantharia	pzt:001265	acantharia	living	full_body	true	accepted							
uvp6net	t004	pzt:000042	unknown	artefact	unqualified	false	accepted							
uvp6net	t011	pzt:000042	unknown	artefact	unqualified	false	accepted							
uvp6net	tuff	pzt:000671	trichodesmium	living	full_body	true	accepted							
