datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
whoi	Akashiwo	pzt:001161	akashiwo	living	full_body	true	accepted							
whoi	Amphidinium_sp	pzt:001065	amphidinium	living	full_body	true	accepted							
whoi	Asterionellopsis	pzt:000944	asterionellopsis	living	full_body	true	accepted							
whoi	Bacillaria	pzt:000886	bacillaria	living	full_body	true	accepted							
whoi	Bidulphia	pzt:000899	biddulphia	living	full_body	true	accepted							
whoi	Cerataulina	pzt:000958	cerataulina	living	full_body	true	accepted							
whoi	Cerataulina_flagellate	pzt:000958	cerataulina	living	full_body	true	accepted							
whoi	Ceratium	pzt:001092	ceratium	living	full_body	true	accepted							
whoi	Chaetoceros	pzt:000908	chaetoceros	living	full_body	true	accepted							
whoi	Chaetoceros_didymus	pzt:000914	chaetoceros didymus	living	full_body	true	accepted							
whoi	Chaetoceros_didymus_flagellate	pzt:000914	chaetoceros didymus	living	full_body	true	accepted							
whoi	Chaetoceros_flagellate	pzt:000908	chaetoceros	living	full_body	true	accepted							
whoi	Chaetoceros_other	pzt:000908	chaetoceros	living	full_body	true	accepted							
whoi	Chaetoceros_pennate	pzt:000908	chaetoceros	living	full_body	true	accepted							
whoi	Chrysochromulina	pzt:000856	chrysochromulina	living	full_body	true	accepted							
whoi	Ciliate_mix	pzt:000699	ciliophora	living	mix	true	accepted							
whoi	Cochlodinium	pzt:001163	cochlodinium	living	full_body	true	accepted							
whoi	Corethron	pzt:000927	corethron	living	full_body	true	accepted							
whoi	Coscinodiscus	pzt:000930	coscinodiscus	living	full_body	true	accepted							
whoi	Cylindrotheca	pzt:000887	cylindrotheca	living	full_body	true	accepted							
whoi	DactFragCerataul	pzt:000958	cerataulina	living	full_body	true	accepted							
whoi	Dactyliosolen	pzt:001010	dactyliosolen	living	full_body	true	accepted							
whoi	Delphineis	pzt:001007	delphineis	living	full_body	true	accepted							
whoi	Dictyocha	pzt:001243	dictyocha	living	full_body	true	accepted							
whoi	Didinium_sp	pzt:000718	didinium	living	full_body	true	accepted							
whoi	Dinobryon	pzt:001234	dinobryon	living	full_body	true	accepted							
whoi	Dinophysis	pzt:001075	dinophysis	living	full_body	true	accepted							
whoi	Ditylum	pzt:000976	ditylum	living	full_body	true	accepted							
whoi	Ditylum_parasite	pzt:000976	ditylum	living	parasite	true	accepted							
whoi	Emiliania_huxleyi	pzt:000849	gephyrocapsa huxleyi	living	full_body	true	accepted							
whoi	Ephemera	pzt:000250	ephemera	living	full_body	true	accepted							
whoi	Eucampia	pzt:000962	eucampia	living	full_body	true	accepted							
whoi	Euglena	pzt:001347	euglena	living	full_body	true	accepted							
whoi	Euplotes_sp	pzt:000811	euplotes	living	full_body	true	accepted							
whoi	G_delicatula_detritus	pzt:001014	guinardia delicatula	detritus	unqualified	false	accepted							
whoi	G_delicatula_external_parasite	pzt:001014	guinardia delicatula	living	parasite	true	accepted							
whoi	G_delicatula_parasite	pzt:001014	guinardia delicatula	living	parasite	true	accepted							
whoi	Gonyaulax	pzt:001140	gonyaulax	living	full_body	true	accepted							
whoi	Guinardia_delicatula	pzt:001014	guinardia delicatula	living	full_body	true	accepted							
whoi	Guinardia_flaccida	pzt:001015	guinardia flaccida	living	full_body	true	accepted							
whoi	Guinardia_striata	pzt:001016	guinardia striata	living	full_body	true	accepted							
whoi	Gyrodinium	pzt:001168	gyrodinium	living	full_body	true	accepted							
whoi	Hemiaulus	pzt:000964	hemiaulus	living	full_body	true	accepted							
whoi	Heterocapsa_triquetra	pzt:001205	kryptoperidinium triquetrum	living	full_body	true	accepted							
whoi	Karenia	pzt:001170	karenia	living	full_body	true	accepted							
whoi	Katodinium_or_Torodinium	pzt:001062	dinophyceae	living	full_body	true	accepted							
whoi	Laboea_strobila	pzt:000799	laboea strobila	living	full_body	true	accepted							
whoi	Lauderia	pzt:001036	lauderia	living	full_body	true	accepted							
whoi	Leegaardiella_ovalis	pzt:000761	leegaardiella ovalis	living	full_body	true	accepted							
whoi	Leptocylindrus	pzt:000967	leptocylindrus	living	full_body	true	accepted							
whoi	Leptocylindrus_mediterraneus	pzt:000968	leptocylindrus mediterraneus	living	full_body	true	accepted							
whoi	Licmophora	pzt:000973	licmophora	living	full_body	true	accepted							
whoi	Mesodinium_sp	pzt:000714	mesodinium	living	full_body	true	accepted							
