datasetID	verbatimIdentification	taxonID	concept	root_class	qualifier	plankton	status	method	donor	identifiedBy	dateIdentified	identificationReferences	confidence	remarks
zoocamnet	Acartiidae	pzt:000154	acartiidae	living	full_body	true	accepted							
zoocamnet	Actinopterygii	pzt:000312	chordata	living	full_body	true	accepted							
zoocamnet	Amphipoda	pzt:000263	amphipoda	living	full_body	true	accepted							
zoocamnet	Annelida	pzt:000045	annelida	living	full_body	true	accepted							
zoocamnet	Appendicularia	pzt:000313	appendicularia	living	full_body	true	accepted							
zoocamnet	Bivalvia	pzt:000439	bivalvia	living	full_body	true	accepted							
zoocamnet	Calanidae	pzt:000157	calanidae	living	full_body	true	accepted							
zoocamnet	Calanoida	pzt:000153	calanoida	living	full_body	true	accepted							
zoocamnet	Calocalanus	pzt:000192	calocalanus	living	full_body	true	accepted							
zoocamnet	Candaciidae	pzt:000158	candaciidae	living	full_body	true	accepted							
zoocamnet	Cavoliniidae	pzt:000451	cavoliniidae	living	full_body	true	accepted							
zoocamnet	Centropagidae	pzt:000159	centropagidae	living	full_body	true	accepted							
zoocamnet	Chaetognatha	pzt:000304	chaetognatha	living	full_body	true	accepted							
zoocamnet	Ciripedia	pzt:000300	thecostraca	living	full_body	true	accepted							
zoocamnet	Cladocera	pzt:000442	cladoceramus	living	full_body	true	accepted							
zoocamnet	Cnidaria	pzt:000346	cnidaria	living	full_body	true	accepted							
zoocamnet	Copepoda	pzt:000152	copepoda	living	full_body	true	accepted							
zoocamnet	Corycaeidae	pzt:000203	corycaeidae	living	full_body	true	accepted							
zoocamnet	Ctenophora	pzt:000949	ctenophora	living	full_body	true	accepted							
zoocamnet	Cyclopoida	pzt:000202	cyclopoida	living	full_body	true	accepted							
zoocamnet	Decapoda	pzt:000273	decapoda	living	full_body	true	accepted							
zoocamnet	Diatoma	pzt:000950	diatoma	living	full_body	true	accepted							
zoocamnet	Diatoma tenuis	pzt:000951	diatoma tenuis	living	full_body	true	accepted							
zoocamnet	Doliolida	pzt:000340	doliolida	living	full_body	true	accepted							
zoocamnet	Euchaeta	pzt:000186	euchaeta	living	full_body	true	accepted							
zoocamnet	Euterpina	pzt:000237	euterpina	living	full_body	true	accepted							
zoocamnet	Evadne	pzt:000150	evadne	living	full_body	true	accepted							
zoocamnet	Gastropoda	pzt:000444	gastropoda	living	full_body	true	accepted							
zoocamnet	Halosphaera	pzt:001310	halosphaera	living	full_body	true	accepted							
zoocamnet	Harpacticoida	pzt:000232	harpacticoida	living	full_body	true	accepted							
zoocamnet	Hydrozoa	pzt:000352	hydrozoa	living	full_body	true	accepted							
zoocamnet	Isias	pzt:000161	isias	living	full_body	true	accepted							
zoocamnet	Limacinidae	pzt:000467	limacinidae	living	full_body	true	accepted							
zoocamnet	Luidiidae	pzt:000431	luidiidae	living	full_body	true	accepted							
zoocamnet	Metrinidae	pzt:000188	metridinidae	living	full_body	true	accepted							
zoocamnet	Microstella	pzt:000472	microstellaria	living	full_body	true	accepted							
zoocamnet	Nannosquillidae	pzt:000294	nannosquillidae	living	full_body	true	accepted							
zoocamnet	Neoceratium	pzt:001094	neoceratium	living	full_body	true	accepted							
zoocamnet	Noctiluca	pzt:001183	noctiluca	living	full_body	true	accepted							
zoocamnet	Obelia	pzt:000367	obelia	living	full_body	true	accepted							
zoocamnet	Oncaea	pzt:000229	oncaea	living	full_body	true	accepted							
zoocamnet	Penilia	pzt:000097	penilia	living	full_body	true	accepted							
zoocamnet	Phoronida	pzt:000479	phoronida	living	full_body	true	accepted							
zoocamnet	Physonectae	pzt:000381	siphonophorae	living	full_body	true	accepted							
zoocamnet	Podon	pzt:000151	podon	living	full_body	true	accepted							
zoocamnet	Poecilostomatoida	pzt:000202	cyclopoida	living	full_body	true	accepted							
zoocamnet	Pontellidae	pzt:000194	pontellidae	living	full_body	true	accepted							
zoocamnet	Porcellanidae	pzt:000280	porcellanidae	living	full_body	true	accepted							
zoocamnet	Rhizaria	pzt:000675	chromista	living	full_body	true	accepted							
zoocamnet	Rhizosolenids	pzt:001021	rhizosolenia	living	full_body	true	accepted							
