taxonID	parentNameUsageID	taxonRank	scientificName	taxonomicStatus	acceptedNameUsageID	nameAccordingTo	kind	taxonRemarks
pzt:000001		unranked	Eukaryota	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000002		unranked	artefact	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000003		unranked	bad focus	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000004		unranked	bead	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000005		unranked	bubble	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000006		unranked	crystal	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000007		unranked	cyst	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000008		unranked	detritus	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000009		unranked	dirt	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000010		unranked	egg	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000011		unranked	elongated stick	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000012		unranked	error	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000013		unranked	feces	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000014		unranked	fiber	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000015		unranked	filament	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000016		unranked	fish egg	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000017		unranked	invertebrate_larvae	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000018		unranked	larvae	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000019		unranked	marine snow	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000020		unranked	mineral	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000021		unranked	mix	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000022		unranked	molt	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000023		unranked	moving	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000024		unranked	other	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000025		unranked	other plastic	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000026		unranked	part diatom	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000027		unranked	plastic	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000028		unranked	plastic fiber	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000029		unranked	plastic filament	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000030		unranked	plastic film	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000031		unranked	plastic fragment	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000032		unranked	plastic pellet	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000033		unranked	plastic rod	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000034		unranked	pollen	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000035		unranked	polystyrene	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000036		unranked	reflection	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000037		unranked	sand	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000038		unranked	seaweed	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000039		unranked	shape	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000040		unranked	spore	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000041		unranked	stellate hairs	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000042		unranked	unknown	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000043		unranked	zooplankton	accepted			bucket	no lineage in the source table; sub-classification is a curation act
pzt:000044		kingdom	animalia	accepted			taxon	
pzt:000045	pzt:000044	phylum	annelida	accepted			taxon	
pzt:000046	pzt:000045	class	polychaeta	accepted			taxon	
pzt:000047	pzt:000046	order	phyllodocida	accepted			taxon	
pzt:000048	pzt:000047	family	phyllodocidae	accepted			taxon	
pzt:000049	pzt:000048	unranked	alciopini	accepted			taxon	finer than its deepest legacy rank; true rank unassigned
pzt:000050	pzt:000047	family	tomopteridae	accepted			taxon	
pzt:000051	pzt:000050	genus	tomopteris	accepted			taxon	
pzt:000052	pzt:000046	order	sabellida	accepted			taxon	
pzt:000053	pzt:000052	family	serpulidae	accepted			taxon	
pzt:000054	pzt:000053	genus	spirorbis	accepted			taxon	
pzt:000055	pzt:000046	order	terebellida	accepted			taxon	
pzt:000056	pzt:000055	family	acrocirridae	accepted			taxon	
pzt:000057	pzt:000056	genus	swima	accepted			taxon	
pzt:000058	pzt:000055	family	flabelligeridae	accepted			taxon	
pzt:000059	pzt:000058	genus	flota	accepted			taxon	
pzt:000060	pzt:000058	genus	poeobius	accepted			taxon	
pzt:000061	pzt:000055	family	terebellidae	accepted			taxon	
pzt:000062	pzt:000044	phylum	arthropoda	accepted			taxon	
pzt:000063	pzt:000062	class	arachnida	accepted			taxon	
pzt:000064	pzt:000063	order	trombidiformes	accepted			taxon	
pzt:000065	pzt:000064	family	halacaridae	accepted			taxon	
pzt:000066	pzt:000064	family	hydrachnidia	accepted			taxon	
pzt:000067	pzt:000062	class	branchiopoda	accepted			taxon	
pzt:000068	pzt:000067	order	anomopoda	accepted			taxon	
pzt:000069	pzt:000068	family	bosminidae	accepted			taxon	
pzt:000070	pzt:000069	genus	bosmina	accepted			taxon	
pzt:000071	pzt:000070	species	bosmina fatalis	accepted			taxon	
pzt:000072	pzt:000070	species	bosmina freyi	accepted			taxon	
pzt:000073	pzt:000070	species	bosmina longirostris	accepted			taxon	
pzt:000074	pzt:000070	species	bosmina tanakai	accepted			taxon	
pzt:000075	pzt:000068	family	daphniidae	accepted			taxon	
pzt:000076	pzt:000075	genus	ceriodaphnia	accepted			taxon	
pzt:000077	pzt:000076	species	ceriodaphnia cornuta	accepted			taxon	
pzt:000078	pzt:000076	species	ceriodaphnia dubia	accepted			taxon	
pzt:000079	pzt:000076	species	ceriodaphnia pulchella	accepted			taxon	
pzt:000080	pzt:000075	genus	daphnia	accepted			taxon	
pzt:000081	pzt:000080	species	daphnia ambigua	accepted			taxon	
pzt:000082	pzt:000080	species	daphnia cristata	accepted			taxon	
pzt:000083	pzt:000080	species	daphnia dentifera	accepted			taxon	
pzt:000084	pzt:000080	species	daphnia galeata	accepted			taxon	
pzt:000085	pzt:000080	species	daphnia longiremis	accepted			taxon	
pzt:000086	pzt:000080	species	daphnia mitsukuri	accepted			taxon	
pzt:000087	pzt:000080	species	daphnia pulex	accepted			taxon	
pzt:000088	pzt:000080	species	daphnia tanakai	accepted			taxon	
pzt:000089	pzt:000067	order	ctenopoda	accepted			taxon	
pzt:000090	pzt:000089	family	sididae	accepted			taxon	
pzt:000091	pzt:000090	genus	diaphanosoma	accepted			taxon	
pzt:000092	pzt:000091	species	diaphanosoma brachyurum	accepted			taxon	
pzt:000093	pzt:000091	species	diaphanosoma dubium	accepted			taxon	
pzt:000094	pzt:000091	species	diaphanosoma macrophthalma	accepted			taxon	
pzt:000095	pzt:000091	species	diaphanosoma nipponica	accepted			taxon	
pzt:000096	pzt:000091	species	diaphanosoma orientalis	accepted			taxon	
pzt:000097	pzt:000090	genus	penilia	accepted			taxon	
pzt:000098	pzt:000097	species	penilia avirostris	accepted			taxon	
pzt:000099	pzt:000067	order	diplostraca	accepted			taxon	
pzt:000100	pzt:000099	family	bosminidae	accepted			taxon	
pzt:000101	pzt:000100	genus	bosminopsis	accepted			taxon	
pzt:000102	pzt:000101	species	bosminopsis deitersi	accepted			taxon	
pzt:000103	pzt:000099	family	chydoridae	accepted			taxon	
pzt:000104	pzt:000103	genus	alona	accepted			taxon	
