class_id	tax_label
0	
1	animalia
2	animalia annelida
3	animalia annelida polychaeta
4	animalia annelida polychaeta phyllodocida
5	animalia annelida polychaeta phyllodocida phyllodocidae
6	animalia annelida polychaeta phyllodocida tomopteridae
7	animalia annelida polychaeta phyllodocida tomopteridae tomopteris
8	animalia annelida polychaeta sabellida serpulidae spirorbis
9	animalia annelida polychaeta terebellida acrocirridae
10	animalia annelida polychaeta terebellida acrocirridae swima
11	animalia annelida polychaeta terebellida flabelligeridae flota
12	animalia annelida polychaeta terebellida flabelligeridae poeobius
13	animalia annelida polychaeta terebellida terebellidae
14	animalia arthropoda
15	animalia arthropoda arachnida trombidiformes
16	animalia arthropoda arachnida trombidiformes halacaridae
17	animalia arthropoda arachnida trombidiformes hydrachnidia
18	animalia arthropoda branchiopoda
19	animalia arthropoda branchiopoda anomopoda bosminidae bosmina
20	animalia arthropoda branchiopoda anomopoda bosminidae bosmina fatalis
21	animalia arthropoda branchiopoda anomopoda bosminidae bosmina freyi
22	animalia arthropoda branchiopoda anomopoda bosminidae bosmina longirostris
23	animalia arthropoda branchiopoda anomopoda bosminidae bosmina tanakai
24	animalia arthropoda branchiopoda anomopoda daphniidae ceriodaphnia
25	animalia arthropoda branchiopoda anomopoda daphniidae ceriodaphnia cornuta
26	animalia arthropoda branchiopoda anomopoda daphniidae ceriodaphnia dubia
27	animalia arthropoda branchiopoda anomopoda daphniidae ceriodaphnia pulchella
28	animalia arthropoda branchiopoda anomopoda daphniidae daphnia
29	animalia arthropoda branchiopoda anomopoda daphniidae daphnia ambigua
30	animalia arthropoda branchiopoda anomopoda daphniidae daphnia cristata
31	animalia arthropoda branchiopoda anomopoda daphniidae daphnia dentifera
32	animalia arthropoda branchiopoda anomopoda daphniidae daphnia galeata
33	animalia arthropoda branchiopoda anomopoda daphniidae daphnia longiremis
34	animalia arthropoda branchiopoda anomopoda daphniidae daphnia mitsukuri
35	animalia arthropoda branchiopoda anomopoda daphniidae daphnia pulex
36	animalia arthropoda branchiopoda anomopoda daphniidae daphnia tanakai
37	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma
38	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma brachyurum
39	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma dubium
40	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma macrophthalma
41	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma nipponica
42	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma orientalis
43	animalia arthropoda branchiopoda ctenopoda sididae penilia
44	animalia arthropoda branchiopoda ctenopoda sididae penilia avirostris
45	animalia arthropoda branchiopoda diplostraca bosminidae bosminopsis deitersi
46	animalia arthropoda branchiopoda diplostraca chydoridae
47	animalia arthropoda branchiopoda diplostraca chydoridae alona
48	animalia arthropoda branchiopoda diplostraca chydoridae alona affinis
49	animalia arthropoda branchiopoda diplostraca chydoridae alona costata
50	animalia arthropoda branchiopoda diplostraca chydoridae alona guttata
51	animalia arthropoda branchiopoda diplostraca chydoridae alona intermedia
52	animalia arthropoda branchiopoda diplostraca chydoridae alonella excisa
53	animalia arthropoda branchiopoda diplostraca chydoridae camptocercus
54	animalia arthropoda branchiopoda diplostraca chydoridae camptocercus australis
55	animalia arthropoda branchiopoda diplostraca chydoridae chydorus
56	animalia arthropoda branchiopoda diplostraca chydoridae chydorus brevilabris
57	animalia arthropoda branchiopoda diplostraca chydoridae chydorus sphaericus
58	animalia arthropoda branchiopoda diplostraca chydoridae disparalona rostrata
59	animalia arthropoda branchiopoda diplostraca chydoridae leydigia cliata
60	animalia arthropoda branchiopoda diplostraca chydoridae leydigia leydigi
61	animalia arthropoda branchiopoda diplostraca chydoridae monospilus dispar
62	animalia arthropoda branchiopoda diplostraca chydoridae pleuroxus hamulatus
63	animalia arthropoda branchiopoda diplostraca chydoridae pleuroxus laevis
64	animalia arthropoda branchiopoda diplostraca daphniida simocephalus serrulatus
65	animalia arthropoda branchiopoda diplostraca daphniida simocephalus vetulus
66	animalia arthropoda branchiopoda diplostraca daphniidae scapholeberis smirnovi
67	animalia arthropoda branchiopoda diplostraca holopediidae holopedium gibberum
68	animalia arthropoda branchiopoda diplostraca macrothricidae macrothrix
69	animalia arthropoda branchiopoda diplostraca moinidae moina
70	animalia arthropoda branchiopoda diplostraca moinidae moina affinis
71	animalia arthropoda branchiopoda diplostraca moinidae moina micrura
72	animalia arthropoda branchiopoda diplostraca sididae sida
73	animalia arthropoda branchiopoda haplopoda leptodoridae leptodora
74	animalia arthropoda branchiopoda haplopoda leptodoridae leptodora kindtii
75	animalia arthropoda branchiopoda onychopoda podonidae evadne
76	animalia arthropoda branchiopoda onychopoda podonidae podon
77	animalia arthropoda copepoda
78	animalia arthropoda copepoda calanoida
79	animalia arthropoda copepoda calanoida acartiidae
80	animalia arthropoda copepoda calanoida augaptilidae haloptilus
81	animalia arthropoda copepoda calanoida calanidae
82	animalia arthropoda copepoda calanoida candaciidae
83	animalia arthropoda copepoda calanoida centropagidae
84	animalia arthropoda copepoda calanoida centropagidae centropages
85	animalia arthropoda copepoda calanoida centropagidae isias
86	animalia arthropoda copepoda calanoida centropagidae sinocalanus tenellus
87	animalia arthropoda copepoda calanoida clausocalanidae ctenocalanus
88	animalia arthropoda copepoda calanoida clausocalanidae pseudocalanus
89	animalia arthropoda copepoda calanoida diaptomidae acanthodiaptomus pacificus
90	animalia arthropoda copepoda calanoida diaptomidae eodiaptomus japonicus
91	animalia arthropoda copepoda calanoida diaptomidae eudiaptomus
92	animalia arthropoda copepoda calanoida diaptomidae heliodiaptomus kikuchii
93	animalia arthropoda copepoda calanoida diaptomidae heliodiaptomus nipponicus
94	animalia arthropoda copepoda calanoida diaptomidae neodiaptomus schmackeri
95	animalia arthropoda copepoda calanoida diaptomidae neutrodiaptomus formosus
96	animalia arthropoda copepoda calanoida diaptomidae sinodiaptomus sarsi
97	animalia arthropoda copepoda calanoida diaptomidae sinodiaptomus valkano
98	animalia arthropoda copepoda calanoida eucalanidae
99	animalia arthropoda copepoda calanoida eucalanidae eucalanus
100	animalia arthropoda copepoda calanoida euchaetidae
101	animalia arthropoda copepoda calanoida euchaetidae euchaeta
102	animalia arthropoda copepoda calanoida heterorhabdidae
103	animalia arthropoda copepoda calanoida metridinidae
104	animalia arthropoda copepoda calanoida metridinidae pleuromamma abdominalis
105	animalia arthropoda copepoda calanoida paracalanidae calocalanus
106	animalia arthropoda copepoda calanoida paracalanidae calocalanus pavo
107	animalia arthropoda copepoda calanoida pontellidae
108	animalia arthropoda copepoda calanoida pontellidae pontellina plumata
109	animalia arthropoda copepoda calanoida rhincalanidae
110	animalia arthropoda copepoda calanoida temoridae
111	animalia arthropoda copepoda calanoida temoridae eurytemora affinis
112	animalia arthropoda copepoda calanoida temoridae temora
113	animalia arthropoda copepoda cyclopoida
114	animalia arthropoda copepoda cyclopoida corycaeidae
115	animalia arthropoda copepoda cyclopoida cyclopidae
116	animalia arthropoda copepoda cyclopoida cyclopidae acanthocyclops
117	animalia arthropoda copepoda cyclopoida cyclopidae cyclops
118	animalia arthropoda copepoda cyclopoida cyclopidae cyclops kikuchii
119	animalia arthropoda copepoda cyclopoida cyclopidae cyclops vicinus
120	animalia arthropoda copepoda cyclopoida cyclopidae diacyclops
121	animalia arthropoda copepoda cyclopoida cyclopidae diacyclops biscuspidatus
122	animalia arthropoda copepoda cyclopoida cyclopidae eucyclops
123	animalia arthropoda copepoda cyclopoida cyclopidae macrocyclops
124	animalia arthropoda copepoda cyclopoida cyclopidae megacyclops viridis
125	animalia arthropoda copepoda cyclopoida cyclopidae mesocyclops
126	animalia arthropoda copepoda cyclopoida cyclopidae mesocyclops dissimilis
127	animalia arthropoda copepoda cyclopoida cyclopidae microcyclops
128	animalia arthropoda copepoda cyclopoida cyclopidae thermocyclops
129	animalia arthropoda copepoda cyclopoida cyclopidae thermocyclops crassus
130	animalia arthropoda copepoda cyclopoida cyclopidae thermocyclops taihokuensis
131	animalia arthropoda copepoda cyclopoida cyclopidae tropocyclops
132	animalia arthropoda copepoda cyclopoida ergasilidae ergasilus
133	animalia arthropoda copepoda cyclopoida lubbockiidae lubbockia
134	animalia arthropoda copepoda cyclopoida oithonidae
135	animalia arthropoda copepoda cyclopoida oithonidae oithona
136	animalia arthropoda copepoda cyclopoida oncaeidae
137	animalia arthropoda copepoda cyclopoida oncaeidae oncaea
138	animalia arthropoda copepoda cyclopoida sapphirinidae
139	animalia arthropoda copepoda cyclopoida sapphirinidae copilia
140	animalia arthropoda copepoda harpacticoida
141	animalia arthropoda copepoda harpacticoida ectinosomatidae microsetella
142	animalia arthropoda copepoda harpacticoida miraciidae
143	animalia arthropoda copepoda harpacticoida tachidiidae euterpina
144	animalia arthropoda copepoda monstrilloida
145	animalia arthropoda copepoda siphonostomatoida
146	animalia arthropoda diplopoda siphonophorida siphonophoridae siphonophora
147	animalia arthropoda hexapoda
148	animalia arthropoda hexapoda ephemeroptera ephemeridae ephemera
149	animalia arthropoda hexapoda hemiptera gerridae
150	animalia arthropoda hexapoda hemiptera gerridae halobates
151	animalia arthropoda hexapoda siphonaptera pulicidae echidnophaga
152	animalia arthropoda insecta diptera chaoboridae chaoborus
153	animalia arthropoda insecta diptera chironomidae
154	animalia arthropoda malacostraca
155	animalia arthropoda malacostraca amphipoda
156	animalia arthropoda malacostraca amphipoda caprellidae
157	animalia arthropoda malacostraca amphipoda oxycephalidae
158	animalia arthropoda malacostraca amphipoda phronimidae
159	animalia arthropoda malacostraca amphipoda phronimidae phronima
160	animalia arthropoda malacostraca amphipoda stegocephalidae stegocephalus inflatus
161	animalia arthropoda malacostraca cumacea
162	animalia arthropoda malacostraca decapoda
163	animalia arthropoda malacostraca decapoda galatheidae
164	animalia arthropoda malacostraca decapoda laomediidae
165	animalia arthropoda malacostraca decapoda luciferidae
166	animalia arthropoda malacostraca decapoda munididae grimothea
167	animalia arthropoda malacostraca decapoda penaeidae
168	animalia arthropoda malacostraca decapoda porcellanidae
169	animalia arthropoda malacostraca decapoda sergestidae
170	animalia arthropoda malacostraca euphausiacea
171	animalia arthropoda malacostraca isopoda cirolanidae eurydice
172	animalia arthropoda malacostraca isopoda munnopsidae
173	animalia arthropoda malacostraca isopoda munnopsidae munnopsis
174	animalia arthropoda malacostraca mysida
175	animalia arthropoda malacostraca mysida mysidae mysis
176	animalia arthropoda malacostraca stomatopoda
177	animalia arthropoda malacostraca stomatopoda nannosquillidae
178	animalia arthropoda malacostraca stomatopoda squillidae
179	animalia arthropoda ostracoda
180	animalia arthropoda ostracoda podocopida hemicytheridae favella
181	animalia arthropoda thecostraca
182	animalia arthropoda thecostraca sessilia
183	animalia bryozoa
184	animalia chaetognatha
185	animalia chaetognatha sagittoidea aphragmophora sagittidae sagitta
186	animalia chaetognatha sagittoidea phragmophora eukrohniidae eukrohnia
187	animalia chordata
188	animalia chordata appendicularia
189	animalia chordata appendicularia copelata fritillariidae
190	animalia chordata appendicularia copelata fritillariidae fritillaria
191	animalia chordata appendicularia copelata oikopleuridae
192	animalia chordata ascidiacea aplousobranchia holozoidae distaplia
193	animalia chordata leptocardii amphioxiformes branchiostomatidae branchiostoma lanceolatum
194	animalia chordata teleostei
195	animalia chordata teleostei anguilliformes eurypharyngidae eurypharynx pelecanoides
196	animalia chordata teleostei clupeiformes
197	animalia chordata teleostei clupeiformes clupeidae
198	animalia chordata teleostei clupeiformes engraulidae
199	animalia chordata thaliacea
200	animalia chordata thaliacea doliolida
201	animalia chordata thaliacea pyrosomatida
202	animalia chordata thaliacea pyrosomatida pyrosomatidae pyrosoma
203	animalia chordata thaliacea salpida
204	animalia chordata thaliacea salpida salpidae
205	animalia cnidaria
206	animalia cnidaria cubozoa
207	animalia cnidaria hexacorallia actiniaria
208	animalia cnidaria hexacorallia ceriantharia
209	animalia cnidaria hexacorallia zoantharia
210	animalia cnidaria hydrozoa
211	animalia cnidaria hydrozoa anthoathecata
212	animalia cnidaria hydrozoa anthoathecata bythotiaridae
213	animalia cnidaria hydrozoa anthoathecata corynidae sarsia
214	animalia cnidaria hydrozoa anthoathecata hydridae hydra
215	animalia cnidaria hydrozoa anthoathecata porpitidae
216	animalia cnidaria hydrozoa anthoathecata porpitidae porpita
217	animalia cnidaria hydrozoa anthoathecata porpitidae porpita porpita
218	animalia cnidaria hydrozoa anthoathecata porpitidae velella
219	animalia cnidaria hydrozoa leptothecata
220	animalia cnidaria hydrozoa leptothecata aequoreidae
221	animalia cnidaria hydrozoa leptothecata aequoreidae aequorea
222	animalia cnidaria hydrozoa leptothecata campanulariidae obelia
223	animalia cnidaria hydrozoa limnomedusae geryoniidae liriope
224	animalia cnidaria hydrozoa limnomedusae olindiidae
225	animalia cnidaria hydrozoa narcomedusae
226	animalia cnidaria hydrozoa narcomedusae aeginidae aegina
227	animalia cnidaria hydrozoa narcomedusae aeginidae aegina citrea
228	animalia cnidaria hydrozoa narcomedusae solmarisidae
229	animalia cnidaria hydrozoa narcomedusae solmarisidae solmaris
230	animalia cnidaria hydrozoa narcomedusae solmundaeginidae solmundella
231	animalia cnidaria hydrozoa narcomedusae solmundaeginidae solmundella bitentaculata
232	animalia cnidaria hydrozoa siphonophorae
233	animalia cnidaria hydrozoa siphonophorae abylidae
234	animalia cnidaria hydrozoa siphonophorae abylidae abylopsis tetragona
235	animalia cnidaria hydrozoa siphonophorae abylidae bassia bassensis
236	animalia cnidaria hydrozoa siphonophorae diphyidae
237	animalia cnidaria hydrozoa siphonophorae diphyidae chelophyes
238	animalia cnidaria hydrozoa siphonophorae diphyidae eudoxoides spiralis
239	animalia cnidaria hydrozoa siphonophorae hippopodiidae
240	animalia cnidaria hydrozoa siphonophorae physaliidae physalia
241	animalia cnidaria hydrozoa siphonophorae sphaeronectidae sphaeronectes
242	animalia cnidaria hydrozoa trachymedusae
243	animalia cnidaria hydrozoa trachymedusae halicreatidae
244	animalia cnidaria hydrozoa trachymedusae halicreatidae botrynema
245	animalia cnidaria hydrozoa trachymedusae halicreatidae botrynema brucei
246	animalia cnidaria hydrozoa trachymedusae halicreatidae halicreas
247	animalia cnidaria hydrozoa trachymedusae halicreatidae halicreas minimum
248	animalia cnidaria hydrozoa trachymedusae halicreatidae haliscera
249	animalia cnidaria hydrozoa trachymedusae rhopalonematidae
250	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglantha
251	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglantha digitale
252	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglaura
253	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglaura hemistoma
254	animalia cnidaria hydrozoa trachymedusae rhopalonematidae rhopalonema
255	animalia cnidaria hydrozoa trachymedusae rhopalonematidae rhopalonema velatum
256	animalia cnidaria hydrozoa trachymedusae rhopalonematidae sminthea
257	animalia cnidaria scyphozoa
258	animalia cnidaria scyphozoa coronatae
259	animalia cnidaria scyphozoa coronatae atollidae atolla
260	animalia cnidaria scyphozoa rhizostomeae
261	animalia cnidaria scyphozoa semaeostomeae
262	animalia ctenophora nuda beroida
263	animalia ctenophora nuda beroida beroidae beroe
264	animalia ctenophora tentaculata cestida cestidae
265	animalia ctenophora tentaculata cydippida
266	animalia ctenophora tentaculata lobata
267	animalia echinodermata
268	animalia echinodermata asteroidea
269	animalia echinodermata asteroidea paxillosida luidiidae
270	animalia echinodermata crinoidea
271	animalia echinodermata echinoidea
272	animalia echinodermata holothuroidea
273	animalia echinodermata ophiuroidea
274	animalia hemichordata enteropneusta
275	animalia mollusca
276	animalia mollusca bivalvia
277	animalia mollusca bivalvia pteriida inoceramidae cladoceramus
278	animalia mollusca cephalopoda
279	animalia mollusca gastropoda
280	animalia mollusca gastropoda littorinimorpha
281	animalia mollusca gastropoda littorinimorpha atlantidae
282	animalia mollusca gastropoda littorinimorpha pterotracheidae pterotrachea
283	animalia mollusca gastropoda nudibranchia
284	animalia mollusca gastropoda pteropoda
285	animalia mollusca gastropoda pteropoda cavoliniidae
286	animalia mollusca gastropoda pteropoda cavoliniidae cavolinia inflexa
287	animalia mollusca gastropoda pteropoda cavoliniidae diacavolinia
288	animalia mollusca gastropoda pteropoda cavoliniidae diacria
289	animalia mollusca gastropoda pteropoda cavoliniidae diacria trispinosa
290	animalia mollusca gastropoda pteropoda cliidae clio pyramidata
291	animalia mollusca gastropoda pteropoda creseidae
292	animalia mollusca gastropoda pteropoda creseidae creseis acicula
293	animalia mollusca gastropoda pteropoda creseidae creseis virgula
294	animalia mollusca gastropoda pteropoda cymbuliidae cymbulia peronii
295	animalia mollusca gastropoda pteropoda limacinidae
296	animalia mollusca gastropoda pteropoda limacinidae limacina
297	animalia mollusca gastropoda pteropoda limacinidae limacina helicina
298	animalia mollusca gastropoda pylopulmonata pyramidellidae microstellaria
299	animalia mollusca gastropoda stylommatophora helicidae helix
300	animalia mollusca gastropoda stylommatophora helicidae helix aspersa
301	animalia mollusca gastropoda thecosomata
302	animalia nematoda
303	animalia phoronida
304	animalia platyhelminthes
305	animalia platyhelminthes trematoda plagiorchiida cryptogonimidae siphodera
306	animalia porifera
307	animalia rotifera
308	animalia rotifera eurotatoria bdelloidea
309	animalia rotifera eurotatoria bdelloidea habrotrochidae
310	animalia rotifera eurotatoria bdelloidea philodinidae
311	animalia rotifera eurotatoria bdelloidea philodinidae dissotrocha
312	animalia rotifera eurotatoria bdelloidea philodinidae rotaria neptunia
313	animalia rotifera eurotatoria collothecacea collothecidae collotheca
