finding_id	check	authority	taxon_id	proposed_label	id_column	id_value	csv_value	authority_value	category	reason
60156c3276ad	worms_lineage_contradiction	worms	pzt:001258	actinosphaerium nucleofilum	aphia_ID	590589	Family=actinosphaeriidae	(absent from chain)	defect_wrong_identifier	aphia_ID 590589 is the family Actinophryidae, not the species, and WoRMS places that family outside the Actinosphaeriidae the row asserts. NCBI 238767 carries the correct species record. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
5ea823379991	worms_name_mismatch	worms	pzt:001258	actinosphaerium nucleofilum	aphia_ID	590589	actinosphaerium nucleofilum	Actinophryidae	defect_wrong_identifier	aphia_ID 590589 is the family Actinophryidae, not the species, and WoRMS places that family outside the Actinosphaeriidae the row asserts. NCBI 238767 carries the correct species record. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
5e2a0e5ee2f5	worms_lineage_contradiction	worms	pzt:000568	ascomorpha	aphia_ID	134951	Family=gastropoidae	(absent from chain)	defect_csv_cell	the CSV Family 'gastropoidae' is a misspelling: WoRMS places Ascomorpha in Gastropodidae and NCBI in Gastropidae. The genus identifier itself is correct in all three registers. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
fd55eeacb990	ncbi_id_unresolved	ncbi	pzt:000880	asterolamprales	NCBI_ID	941245	941245	(no taxon)	defect_wrong_identifier	NCBI_ID 941245 no longer resolves to any taxon at NCBI Taxonomy; the taxid has been retired since the harvest. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
be1c1188e3fa	worms_lineage_contradiction	worms	pzt:000326	branchiostoma lanceolatum	aphia_ID	104906	Order=amphioxiformes	(absent from chain)	register_silence	WoRMS 104906 publishes no order for this species (its classification runs Cephalochordata > Leptocardii > Branchiostomatidae), so the CSV's Amphioxiformes cannot be corroborated there and comes from another source. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
531ce4636481	ncbi_lineage_contradiction	ncbi	pzt:000948	ceratoneis closterium	NCBI_ID	2856	Genus=ceratoneis	(absent from chain)	nomenclature_drift	the registers disagree on genus placement: WoRMS 163932 keeps Ceratoneis closterium (unassessed) while NCBI 2856 gives Cylindrotheca closterium. Same basionym. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
77a5ae64ed9e	ncbi_lineage_contradiction	ncbi	pzt:000948	ceratoneis closterium	NCBI_ID	2856	Species=ceratoneis closterium	(absent from chain)	nomenclature_drift	the registers disagree on genus placement: WoRMS 163932 keeps Ceratoneis closterium (unassessed) while NCBI 2856 gives Cylindrotheca closterium. Same basionym. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
cfe30c259b2b	worms_lineage_contradiction	worms	pzt:000496	collotheca	aphia_ID	134929	Order=collothecacea	(absent from chain)	nomenclature_drift	the CSV Order 'collothecacea' is WoRMS's Collothecaceae under a variant ending; NCBI instead places Collotheca in Flosculariaceae, so the registers themselves disagree on the order. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
35d7fb61c6d3	authority_name_disagreement	worms+ncbi	pzt:000646	cyanobacteria	aphia_ID+NCBI_ID	146537+1117	cyanobacteria	cyanobacteriota	nomenclature_drift	NCBI adopted the ICNP phylum name Cyanobacteriota while WoRMS 146537 and Q93315 retain Cyanobacteria. Same taxon under two register conventions. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
6fdbc0afd866	ncbi_name_mismatch	ncbi	pzt:000646	cyanobacteria	NCBI_ID	1117	cyanobacteria	Cyanobacteriota	nomenclature_drift	NCBI adopted the ICNP phylum name Cyanobacteriota while WoRMS 146537 and Q93315 retain Cyanobacteria. Same taxon under two register conventions. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
7f85b6d61c09	wikidata_name_mismatch	wikidata	pzt:000865	discosphaera tubifera	wikidata_ID	Q23059044	discosphaera tubifera	Discosphaera tubifer	nomenclature_drift	Q23059044 records the epithet as 'tubifer' rather than 'tubifera'; WoRMS 573399 gives Discosphaera tubifera, which the CSV follows. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
937795ed2f1e	worms_lineage_contradiction	worms	pzt:000256	echidnophaga	aphia_ID	112045	Class=hexapoda	(absent from chain)	defect_wrong_identifier	aphia_ID 112045 is the foraminiferan genus Siphonaptera (Chromista > Foraminifera > Hauerinidae, itself unaccepted for Siphonaperta), not the flea order Siphonaptera the row sits under. A homonym collision picked the wrong register entry; NCBI 475928 and Q10479055 both correctly give the flea genus Echidnophaga. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
33203f76df04	worms_lineage_contradiction	worms	pzt:000256	echidnophaga	aphia_ID	112045	Family=pulicidae	(absent from chain)	defect_wrong_identifier	aphia_ID 112045 is the foraminiferan genus Siphonaptera (Chromista > Foraminifera > Hauerinidae, itself unaccepted for Siphonaperta), not the flea order Siphonaptera the row sits under. A homonym collision picked the wrong register entry; NCBI 475928 and Q10479055 both correctly give the flea genus Echidnophaga. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
b347a3bbcc02	worms_lineage_contradiction	worms	pzt:000256	echidnophaga	aphia_ID	112045	Genus=echidnophaga	(absent from chain)	defect_wrong_identifier	aphia_ID 112045 is the foraminiferan genus Siphonaptera (Chromista > Foraminifera > Hauerinidae, itself unaccepted for Siphonaperta), not the flea order Siphonaptera the row sits under. A homonym collision picked the wrong register entry; NCBI 475928 and Q10479055 both correctly give the flea genus Echidnophaga. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
38049e858d2e	worms_lineage_contradiction	worms	pzt:000256	echidnophaga	aphia_ID	112045	Kingdom=animalia	(absent from chain)	defect_wrong_identifier	aphia_ID 112045 is the foraminiferan genus Siphonaptera (Chromista > Foraminifera > Hauerinidae, itself unaccepted for Siphonaperta), not the flea order Siphonaptera the row sits under. A homonym collision picked the wrong register entry; NCBI 475928 and Q10479055 both correctly give the flea genus Echidnophaga. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
b65c2c33a223	worms_lineage_contradiction	worms	pzt:000256	echidnophaga	aphia_ID	112045	Phylum=arthropoda	(absent from chain)	defect_wrong_identifier	aphia_ID 112045 is the foraminiferan genus Siphonaptera (Chromista > Foraminifera > Hauerinidae, itself unaccepted for Siphonaperta), not the flea order Siphonaptera the row sits under. A homonym collision picked the wrong register entry; NCBI 475928 and Q10479055 both correctly give the flea genus Echidnophaga. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
bbcf35f44d83	ncbi_lineage_contradiction	ncbi	pzt:001142	gonyaulax verior	NCBI_ID	2723146	Genus=gonyaulax	(absent from chain)	nomenclature_drift	WoRMS 110045 marks Gonyaulax verior a junior subjective synonym of Sourniaea diacantha, which is exactly what NCBI 2723146 returns. The CSV retains the superseded name. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
4cff5bd0ca59	ncbi_lineage_contradiction	ncbi	pzt:001142	gonyaulax verior	NCBI_ID	2723146	Species=gonyaulax verior	(absent from chain)	nomenclature_drift	WoRMS 110045 marks Gonyaulax verior a junior subjective synonym of Sourniaea diacantha, which is exactly what NCBI 2723146 returns. The CSV retains the superseded name. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
41fa3a29f676	wikidata_name_mismatch	wikidata	pzt:000996	haslea silbo	wikidata_ID	Q123283803	haslea silbo	Haslea silbo, A Novel Cosmopolitan Species of Blue Diatoms	defect_wrong_identifier	wikidata_ID Q123283803 is the Wikidata item for the PAPER describing the species, not a taxon item: it has no P225 taxon name and no P105 rank. WoRMS 1782279 and NCBI 1146997 both give the species correctly. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
674fe8a41979	authority_name_disagreement	worms+ncbi	pzt:000476	helix aspersa	aphia_ID+NCBI_ID	153970+6535	helix	cornu aspersum	nomenclature_drift	the species was transferred from Helix to Cornu, so NCBI 6535 reads Cornu aspersum while the CSV keeps the basionym; aphia_ID 153970 additionally resolves only to the genus Helix. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
456d3e801372	ncbi_lineage_contradiction	ncbi	pzt:000476	helix aspersa	NCBI_ID	6535	Genus=helix	(absent from chain)	nomenclature_drift	the species was transferred from Helix to Cornu, so NCBI 6535 reads Cornu aspersum while the CSV keeps the basionym; aphia_ID 153970 additionally resolves only to the genus Helix. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
2407951e36ef	ncbi_lineage_contradiction	ncbi	pzt:000476	helix aspersa	NCBI_ID	6535	Species=helix aspersa	(absent from chain)	nomenclature_drift	the species was transferred from Helix to Cornu, so NCBI 6535 reads Cornu aspersum while the CSV keeps the basionym; aphia_ID 153970 additionally resolves only to the genus Helix. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
1345601d86fa	ncbi_lineage_contradiction	ncbi	pzt:001192	heterocapsa triquetra	NCBI_ID	66468	Genus=heterocapsa	(absent from chain)	nomenclature_drift	WoRMS 110153 is unaccepted for Kryptoperidinium triquetrum and NCBI 66468 gives that current name. The CSV retains the superseded combination. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
a7e6fd6f86f8	ncbi_lineage_contradiction	ncbi	pzt:001192	heterocapsa triquetra	NCBI_ID	66468	Species=heterocapsa triquetra	(absent from chain)	nomenclature_drift	WoRMS 110153 is unaccepted for Kryptoperidinium triquetrum and NCBI 66468 gives that current name. The CSV retains the superseded combination. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
6a8ba6edb32d	wikidata_name_mismatch	wikidata	pzt:001228	kapelodinium vestifici	wikidata_ID	Q25364681	kapelodinium vestifici	Torodinium	defect_wrong_identifier	wikidata_ID Q25364681 is the genus Torodinium, the genus Kapelodinium was split out of, not the species. WoRMS 1368615 and NCBI 1890389 both give Kapelodinium vestifici correctly. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
991fea60a889	worms_lineage_contradiction	worms	pzt:000830	katablepharis remigera	aphia_ID	627117	Order=kathablepharidacea	(absent from chain)	register_silence	WoRMS 627117 classifies the species as 'Cryptophyta incertae sedis' with no order, while NCBI 324623 confirms the CSV's Kathablepharidacea. The absence is WoRMS's, not the CSV's. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
37aa8a2f8398	ncbi_lineage_contradiction	ncbi	pzt:000968	leptocylindrus mediterraneus	NCBI_ID	1785165	Genus=leptocylindrus	(absent from chain)	nomenclature_drift	three-way naming difference for one basionym: the CSV keeps Leptocylindrus mediterraneus, WoRMS 149230 redirects to Lauderia mediterranea and NCBI 1785165 gives Dactyliosolen mediterraneus. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
