finding_id	check	severity	resource	locator	subject	category	reason
877196fe32da	id_shared_across_branches	WARN	identifier	bold:1022866	pzt:000799;pzt:000801;pzt:000802	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 3 concepts hold bold:1022866 as skos:exactMatch and they sit on different branches beneath pzt:000797 tontoniidae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000797 `tontoniidae` is an interior concept with no published row, so attaching the id there and re-predicating the 3 holders moves no published byte. Holders: pzt:000799 laboea strobila; pzt:000801 tontonia appendiculariformis; pzt:000802 tontonia gracillima.
3e65a5a8f10a	id_shared_across_branches	WARN	identifier	bold:163626	pzt:000870;pzt:000871;pzt:000873	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 3 concepts hold bold:163626 as skos:exactMatch and they sit on different branches beneath pzt:000868 syracosphaeraceae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000868 `syracosphaeraceae` is an interior concept with no published row, so attaching the id there and re-predicating the 3 holders moves no published byte. Holders: pzt:000870 calciopappus caudatus; pzt:000871 ophiaster; pzt:000873 syracosphaera pulchra.
b70f3a0f0600	id_shared_across_branches	WARN	identifier	bold:163628	pzt:001310;pzt:001311;pzt:001312	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 3 concepts hold bold:163628 as skos:exactMatch and they sit on different branches beneath pzt:001307 pyramimonadaceae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001307 `pyramimonadaceae` is an interior concept with no published row, so attaching the id there and re-predicating the 3 holders moves no published byte. Holders: pzt:001310 halosphaera; pzt:001311 pyramimonas; pzt:001312 pyramimonas longicauda.
f2426bf2aec0	id_shared_across_branches	WARN	identifier	bold:181161	pzt:001238;pzt:001239	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 2 concepts hold bold:181161 as skos:exactMatch and they sit on different branches beneath pzt:001237 ochromonadaceae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001237 `ochromonadaceae` is an interior concept with no published row, so attaching the id there and re-predicating the 2 holders moves no published byte. Holders: pzt:001238 uroglena; pzt:001239 uroglenopsis.
2e58bded272c	id_shared_across_branches	WARN	identifier	bold:265667	pzt:000349;pzt:000350	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 2 concepts hold bold:265667 as skos:exactMatch and they sit on different branches beneath pzt:000348 hexacorallia (class), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000348 `hexacorallia` is an interior concept with no published row, so attaching the id there and re-predicating the 2 holders moves no published byte. Holders: pzt:000349 actiniaria; pzt:000350 ceriantharia. One further piece of committed evidence, unique to this row: the Wikidata snapshot gives Actiniaria (Q147256) BOLD id 28212, not 265667, so the value on that side is contradicted by the second register rather than merely unconfirmed by it. Ceriantharia (Q245695) carries no BOLD id at all.
44488231b1ac	id_shared_across_branches	WARN	identifier	bold:2677449	pzt:000741;pzt:000742;pzt:000743;pzt:000744	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 4 concepts hold bold:2677449 as skos:exactMatch and they sit on different branches beneath pzt:000740 codonellidae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000740 `codonellidae` IS a published proposed_label, so attaching the id there would add a published BOLD_ID cell -- gated on the golden diff. Holders: pzt:000741 codonaria; pzt:000742 codonella; pzt:000743 codonella amphorella; pzt:000744 poroecus.
42c8a70c4c6c	id_shared_across_branches	WARN	identifier	bold:317016	pzt:001163;pzt:001166	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 2 concepts hold bold:317016 as skos:exactMatch and they sit on different branches beneath pzt:001160 gymnodiniaceae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001160 `gymnodiniaceae` is an interior concept with no published row, so attaching the id there and re-predicating the 2 holders moves no published byte. Holders: pzt:001163 cochlodinium; pzt:001166 torodinium.
1b11322b3908	id_shared_across_branches	WARN	identifier	bold:317029	pzt:001188;pzt:001207;pzt:001208;pzt:001209	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 4 concepts hold bold:317029 as skos:exactMatch and they sit on different branches beneath pzt:001185 peridiniales (order), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001185 `peridiniales` IS a published proposed_label, so attaching the id there would add a published BOLD_ID cell -- gated on the golden diff. Holders: pzt:001188 pseliodinium fusus; pzt:001207 podolampas; pzt:001208 podolampas bipes; pzt:001209 podolampas palmipes.
f2a681a9fd54	id_shared_across_branches	WARN	identifier	bold:317118	pzt:001072;pzt:001073;pzt:001088;pzt:001089	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 4 concepts hold bold:317118 as skos:exactMatch and they sit on different branches beneath pzt:001070 dinophysales (order), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001070 `dinophysales` is an interior concept with no published row, so attaching the id there and re-predicating the 4 holders moves no published byte. Holders: pzt:001072 amphisolenia; pzt:001073 triposolenia; pzt:001088 phalacroma; pzt:001089 phalacroma oxytoxoides.
f9bdfa4e23cd	id_shared_across_branches	WARN	identifier	bold:317139	pzt:001194;pzt:001195;pzt:001196;pzt:001197;pzt:001198;pzt:001199;pzt:001200;pzt:001201	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 8 concepts hold bold:317139 as skos:exactMatch and they sit on different branches beneath pzt:001193 oxytoxaceae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001193 `oxytoxaceae` is an interior concept with no published row, so attaching the id there and re-predicating the 8 holders moves no published byte. Holders: pzt:001194 corythodinium; pzt:001195 corythodinium constrictum; pzt:001196 corythodinium milneri; pzt:001197 corythodinium tesselatum; pzt:001198 oxytoxum; pzt:001199 oxytoxum caudatum; pzt:001200 oxytoxum scolopax; pzt:001201 oxytoxum variabile.
