finding_id,severity,authority,check,proposed_label,id_column,id_value,csv_value,authority_value,n_rows,datasets,detail
35d7fb61c6d3,ERROR,worms+ncbi,authority_name_disagreement,cyanobacteria,aphia_ID+NCBI_ID,146537+1117,cyanobacteria,cyanobacteriota,10,daplankton;flowcamnet;planktoscope;syke_ifcb_2022;tara_pacific_bongo;tara_pacific_decknet;tara_pacific_hsn,the two registers resolve the row's identifiers to different organisms
674fe8a41979,ERROR,worms+ncbi,authority_name_disagreement,helix aspersa,aphia_ID+NCBI_ID,153970+6535,helix,cornu aspersum,1,global_uvp5,the two registers resolve the row's identifiers to different organisms
fef39517e84c,ERROR,worms+ncbi,authority_name_disagreement,lioloma pacificum,aphia_ID+NCBI_ID,418646+3471099,lioloma pacificum,lioloma cf. pacificum,1,medplanktonset,the two registers resolve the row's identifiers to different organisms
30081f26ca19,ERROR,worms+ncbi,authority_name_disagreement,pyrosomatida,aphia_ID+NCBI_ID,137213+76842,pyrosomatida,pyrosomata,3,global_uvp5;tara_pacific_manta;zooscan,the two registers resolve the row's identifiers to different organisms
452766ac8c85,ERROR,worms+ncbi,authority_name_disagreement,zoothamniidae,aphia_ID+NCBI_ID,235773+168255,zoothamniidae,zoothamnidae,2,planktoscope;tara_pacific_decknet,the two registers resolve the row's identifiers to different organisms
fd55eeacb990,ERROR,ncbi,ncbi_id_unresolved,asterolamprales,NCBI_ID,941245,941245,(no taxon),4,flowcamnet;planktoscope;tara_pacific_bongo;tara_pacific_decknet,NCBI Taxonomy returns no taxon for this taxid
531ce4636481,ERROR,ncbi,ncbi_lineage_contradiction,ceratoneis closterium,NCBI_ID,2856,Genus=ceratoneis,(absent from chain),1,syke_ifcb_2022,'ceratoneis' is absent from the authority's classification of 2856
77a5ae64ed9e,ERROR,ncbi,ncbi_lineage_contradiction,ceratoneis closterium,NCBI_ID,2856,Species=ceratoneis closterium,(absent from chain),1,syke_ifcb_2022,'ceratoneis closterium' is absent from the authority's classification of 2856
bbcf35f44d83,ERROR,ncbi,ncbi_lineage_contradiction,gonyaulax verior,NCBI_ID,2723146,Genus=gonyaulax,(absent from chain),1,syke_ifcb_2022,'gonyaulax' is absent from the authority's classification of 2723146
4cff5bd0ca59,ERROR,ncbi,ncbi_lineage_contradiction,gonyaulax verior,NCBI_ID,2723146,Species=gonyaulax verior,(absent from chain),1,syke_ifcb_2022,'gonyaulax verior' is absent from the authority's classification of 2723146
456d3e801372,ERROR,ncbi,ncbi_lineage_contradiction,helix aspersa,NCBI_ID,6535,Genus=helix,(absent from chain),1,global_uvp5,'helix' is absent from the authority's classification of 6535
2407951e36ef,ERROR,ncbi,ncbi_lineage_contradiction,helix aspersa,NCBI_ID,6535,Species=helix aspersa,(absent from chain),1,global_uvp5,'helix aspersa' is absent from the authority's classification of 6535
1345601d86fa,ERROR,ncbi,ncbi_lineage_contradiction,heterocapsa triquetra,NCBI_ID,66468,Genus=heterocapsa,(absent from chain),2,daplankton;syke_ifcb_2022,'heterocapsa' is absent from the authority's classification of 66468
a7e6fd6f86f8,ERROR,ncbi,ncbi_lineage_contradiction,heterocapsa triquetra,NCBI_ID,66468,Species=heterocapsa triquetra,(absent from chain),2,daplankton;syke_ifcb_2022,'heterocapsa triquetra' is absent from the authority's classification of 66468
37aa8a2f8398,ERROR,ncbi,ncbi_lineage_contradiction,leptocylindrus mediterraneus,NCBI_ID,1785165,Genus=leptocylindrus,(absent from chain),2,planktoscope;whoi,'leptocylindrus' is absent from the authority's classification of 1785165
da0e00f1a7ce,ERROR,ncbi,ncbi_lineage_contradiction,leptocylindrus mediterraneus,NCBI_ID,1785165,Species=leptocylindrus mediterraneus,(absent from chain),2,planktoscope;whoi,'leptocylindrus mediterraneus' is absent from the authority's classification of 1785165
7447c8260e6c,ERROR,ncbi,ncbi_lineage_contradiction,lioloma pacificum,NCBI_ID,3471099,Species=lioloma pacificum,(absent from chain),1,medplanktonset,'lioloma pacificum' is absent from the authority's classification of 3471099
2ea903bd1e53,ERROR,ncbi,ncbi_lineage_contradiction,odontella mobiliensis,NCBI_ID,655800,Genus=odontella,(absent from chain),1,planktoscope,'odontella' is absent from the authority's classification of 655800
4375c1ec3742,ERROR,ncbi,ncbi_lineage_contradiction,odontella mobiliensis,NCBI_ID,655800,Species=odontella mobiliensis,(absent from chain),1,planktoscope,'odontella mobiliensis' is absent from the authority's classification of 655800
a2e6bbf433f4,ERROR,ncbi,ncbi_lineage_contradiction,odontella sinensis,NCBI_ID,1514140,Genus=odontella,(absent from chain),1,planktoscope,'odontella' is absent from the authority's classification of 1514140
323af84a8929,ERROR,ncbi,ncbi_lineage_contradiction,odontella sinensis,NCBI_ID,1514140,Species=odontella sinensis,(absent from chain),1,planktoscope,'odontella sinensis' is absent from the authority's classification of 1514140
66dc9e45ee86,ERROR,ncbi,ncbi_lineage_contradiction,sinodiaptomus valkano,NCBI_ID,555049,Species=sinodiaptomus valkano,(absent from chain),1,frepj,'sinodiaptomus valkano' is absent from the authority's classification of 555049
