dataset,csv_rows,error_findings,warn_findings,error_per_100_rows
planktoscope,266,17,102,6.4
global_uvp5,254,11,23,4.3
medplanktonset,139,10,105,7.2
frepj,229,10,283,4.4
syke_ifcb_2022,50,9,44,18.0
whoi,103,5,49,4.9
daplankton,44,5,27,11.4
tara_pacific_decknet,132,5,36,3.8
tara_pacific_bongo,137,4,23,2.9
flowcamnet,93,3,29,3.2
tara_pacific_manta,172,3,6,1.7
zooscan,120,2,11,1.7
lensless,10,2,8,20.0
tara_pacific_hsn,159,2,9,1.3
planktonset1.0,121,1,9,0.8
jedioceans,95,1,2,1.1
isiisnet,32,0,0,0.0
uvp6net,54,0,1,0.0
zoocamnet,93,0,19,0.0
zoolake,35,0,13,0.0
sykezooscan2024,20,0,9,0.0
